date,total_trips,total_revenue
2020-03-16,62300,1129929.9700005986
2020-03-17,44291,781059.2800001823
2020-03-23,12943,211053.36999998346
2020-03-26,10243,166171.93999999738
2021-05-22,88983,1603350.4800011397
2021-03-02,57209,933046.1800003622
2021-03-22,55207,941985.6600003759
2020-10-10,45578,765122.3400001802
2020-10-24,50689,834519.9100002529
2020-11-09,47753,784805.6600001848
2021-01-15,48555,797482.2800002025
2021-02-27,45942,753651.3100001519
2020-12-08,52481,841716.2600002561
2020-12-10,54898,906609.3300003322
2020-12-15,56366,929106.7700003559
2020-12-29,41972,697215.0100000851
2021-01-01,22749,409022.89999991754
2021-01-07,46046,764112.2500001539
2021-01-14,48719,798960.4200001883
2020-09-08,40214,676265.9100000557
2020-09-13,27770,482196.2499998945
2020-09-21,42269,702191.1600000864
2020-09-22,47010,769331.0900001769
2020-06-09,15861,264892.37999996403
2020-06-16,17717,299692.2299999503
2020-05-14,9682,153365.89000000173
2020-05-15,10956,178864.8299999921
2020-05-21,11288,183497.6299999906
2020-04-01,8819,138835.33000000747
2020-01-12,183459,3460510.4699959923
2020-01-26,186321,3486960.4899959224
2020-02-25,223901,4213893.19999333
2021-09-04,83139,1637364.5500011807
2021-09-19,83467,1736541.4500010894
2021-08-09,79139,1582377.1400010416
2021-08-29,68098,1497868.0300008208
2021-04-03,58572,999377.2200004694
2021-04-20,73391,1294706.820000765
2021-10-25,95821,1957013.450001373
2021-12-27,67929,1448224.300000849
2020-03-01,177617,3347904.509996552
2020-03-05,241585,4586203.539991408
2020-05-16,8202,132430.09000000922
2020-06-07,8660,158764.59000000087
2020-02-02,191759,3492739.999995747
2021-05-31,53728,1096517.7900004077
2021-03-05,64376,1073639.0600005302
2021-03-15,56743,941658.3000003897
2020-11-12,57818,949350.3300003828
2020-11-21,46223,765459.8700001844
2021-01-10,27923,503566.919999897
2021-01-18,34349,578153.1499999292
2021-01-26,43876,693359.3100000761
2020-09-23,50540,835995.4400002394
2020-08-04,24025,408475.8899999146
2020-07-07,24250,412893.5299999104
2020-07-09,26625,452223.41999989236
2020-06-01,13145,221780.1199999793
2020-06-22,21302,359900.03999992815
2020-05-26,11604,189828.50999998912
2020-02-03,192023,3654529.509995405
2020-04-10,7918,120530.09000000948
2020-01-19,174075,3142750.68999693
2020-02-11,217401,4010691.369993899
2021-11-08,102460,2160469.4500012444
2021-11-18,127887,2644367.859999589
2021-06-09,95348,1767975.2600012438
2021-06-20,73421,1427446.5700008627
2021-06-25,98243,1927564.0400014124
2021-08-05,94691,1845918.9900013031
2021-08-27,91247,1816390.4700013124
2021-04-13,69143,1215414.430000659
2021-12-05,104890,2291493.5100008105
2021-07-05,61556,1287281.8100006487
2021-07-23,94104,1873111.220001389
2021-07-26,84531,1665285.5200011714
2020-10-15,58515,1002696.8200004236
2020-10-21,54898,909319.8700003253
2020-11-04,45012,732014.1000001134
2020-11-15,32930,554976.5499999159
2021-01-02,32098,590419.6599999497
2020-12-03,52644,858713.5500002718
2020-12-19,41492,685560.0900000868
2020-12-21,47198,798224.5200002134
2020-12-24,41142,654657.0200000515
2021-01-04,40637,714231.030000084
2020-09-01,36890,617612.8499999918
2020-09-02,38613,636141.8600000058
2020-09-04,38985,663184.1900000427
2020-08-02,18107,323798.7599999478
2020-07-17,25408,434166.169999905
2020-06-18,18422,314311.6799999474
2020-05-01,9778,153275.02000000118
2020-04-29,8272,128889.68000001009
2020-01-17,240865,4498451.339991072
2020-02-12,233480,4328119.589992517
2020-02-21,234575,4410634.419991597
2021-11-04,122930,2480193.000000162
2021-11-19,129317,2669534.4099994693
2021-08-12,93957,1855143.3200013207
2021-08-20,93859,1869246.9100013487
2021-08-23,76063,1538060.430000973
2021-04-04,43336,800406.6600001755
2021-04-16,77105,1380734.8900008227
2021-04-17,70200,1219783.600000666
2021-10-09,112194,2150626.0900014085
2021-10-26,96446,1879006.3700012993
2021-10-27,114948,2300328.23000078
2021-12-28,73094,1542868.1500009608
2020-02-29,228479,3962167.9199927007
2020-03-06,240889,4489286.179991388
2020-03-25,10728,175466.52999999523
2020-03-30,9013,143253.80000000505
2021-07-11,72067,1462692.120000847
2021-05-13,77810,1435311.7700008522
2021-05-28,82827,1569726.4600010593
2021-05-29,61420,1094742.9800005371
2021-05-30,50927,949760.5100003082
2021-03-27,63474,1103125.3900005512
2021-03-28,37681,676452.390000046
2020-10-13,50427,840784.720000255
2020-10-14,54928,915741.5800003232
2020-10-30,61689,1012837.9000004659
2020-11-18,57679,950511.6300003795
2020-12-11,56717,929192.4500003613
2020-12-16,47080,740204.4000001475
2021-02-13,45220,731794.5600001462
2020-09-05,29215,493129.2299998762
2020-09-29,49926,828493.5600002373
2020-07-02,25083,441964.19999989966
2020-06-10,16206,266498.22999996366
2020-05-08,10120,155985.22000000018
2020-04-14,7658,118342.66000000884
2020-04-15,7632,116770.53000000914
2020-01-02,159650,3095624.479997179
2020-02-23,177459,3366101.209996398
2020-01-21,211205,3958446.699994063
2020-02-08,217614,3849108.80999355
2020-02-13,243705,4659615.739991389
2020-02-26,228478,4310477.579992744
2021-11-02,111274,2100465.700001571
2021-11-06,125840,2392065.9100004556
2021-09-18,105501,2016794.150001521
2021-09-25,107234,2075555.7900015735
2021-09-26,86520,1794049.6800011627
2021-06-07,84603,1580582.150001058
2021-06-15,93242,1756783.890001235
2021-08-07,85841,1659316.6500011608
2021-08-13,93544,1848388.9900013192
2021-08-14,86279,1664539.080001184
