date,temp_max,temp_min,precipitation
2020-01-01,4.3,-1.4,0.0
2020-01-02,8.9,-2.3,0.0
2020-01-03,9.3,2.2,4.5
2020-01-04,10.0,4.2,6.2
2020-01-05,5.1,-1.5,0.4
2020-01-06,7.6,-0.5,1.3
2020-01-07,6.0,-0.7,0.8
2020-01-08,5.0,-2.3,0.1
2020-01-09,0.5,-5.0,0.0
2020-01-10,11.1,-1.2,0.0
2020-01-11,18.3,7.8,0.2
2020-01-12,18.7,5.3,2.7
2020-01-13,8.8,1.1,0.2
2020-01-14,6.7,0.9,0.3
2020-01-15,9.3,2.9,0.1
2020-01-16,8.6,0.7,1.8
2020-01-17,-0.1,-5.9,0.0
2020-01-18,2.4,-6.3,8.4
2020-01-19,7.0,-1.5,1.5
2020-01-20,-0.9,-7.2,0.0
2020-01-21,1.1,-6.7,0.0
2020-01-22,2.9,-5.4,0.0
2020-01-23,6.9,-4.5,0.0
2020-01-24,9.5,-2.8,0.0
2020-01-25,9.6,0.8,25.5
2020-01-26,7.8,0.7,0.0
2020-01-27,7.2,-0.5,0.0
2020-01-28,5.4,-0.5,0.0
2020-01-29,4.3,-3.0,0.0
2020-01-30,1.2,-5.6,0.0
2020-01-31,6.3,-2.8,1.1
2020-02-01,5.5,-0.9,0.5
2020-02-02,6.1,0.4,3.4
2020-02-03,12.4,0.0,0.1
2020-02-04,13.1,2.6,2.5
2020-02-05,8.5,3.1,0.8
2020-02-06,6.5,2.1,16.0
2020-02-07,13.9,0.5,10.1
2020-02-08,4.8,-2.4,0.0
2020-02-09,6.5,-2.2,0.0
2020-02-10,8.8,3.4,10.3
2020-02-11,7.5,4.8,8.6
2020-02-12,7.2,0.8,0.7
2020-02-13,6.5,2.2,19.2
2020-02-14,2.4,-7.9,0.0
2020-02-15,-1.7,-9.3,0.0
2020-02-16,7.6,-3.0,0.0
2020-02-17,9.7,-0.2,0.0
2020-02-18,9.2,0.4,1.3
2020-02-19,8.0,-1.1,0.0
2020-02-20,3.2,-3.6,0.0
2020-02-21,1.7,-6.5,0.0
2020-02-22,8.8,-3.6,0.0
2020-02-23,11.8,-2.8,0.0
2020-02-24,12.8,-1.4,0.0
2020-02-25,10.0,4.4,2.8
2020-02-26,10.2,5.3,0.1
2020-02-27,8.5,-1.3,12.0
2020-02-28,4.9,-2.7,0.0
2020-02-29,2.5,-4.1,0.0
2020-03-01,6.8,-4.7,0.0
2020-03-02,13.5,-1.5,0.0
2020-03-03,13.5,6.4,9.7
2020-03-04,13.1,5.0,0.2
2020-03-05,10.5,1.2,0.0
2020-03-06,7.1,0.2,4.5
2020-03-07,8.2,0.5,0.2
2020-03-08,13.8,-2.5,0.0
2020-03-09,20.1,3.5,0.0
2020-03-10,15.8,8.4,0.3
2020-03-11,12.5,2.7,0.0
2020-03-12,8.9,1.8,1.2
2020-03-13,19.6,7.3,10.1
2020-03-14,12.4,3.9,0.2
2020-03-15,11.2,2.4,0.2
2020-03-16,6.6,-1.8,0.0
2020-03-17,12.1,3.8,6.2
2020-03-18,10.0,0.7,0.1
2020-03-19,12.5,4.7,17.8
2020-03-20,23.6,6.9,3.8
2020-03-21,15.2,3.8,0.0
2020-03-22,5.9,-0.6,0.0
2020-03-23,5.3,2.0,29.6
2020-03-24,14.0,0.6,0.0
2020-03-25,7.8,2.9,0.5
2020-03-26,13.8,0.5,0.0
2020-03-27,18.1,7.5,0.2
2020-03-28,9.9,5.5,15.5
2020-03-29,11.7,6.9,3.3
2020-03-30,11.8,4.1,5.4
2020-03-31,8.4,4.4,1.7
2020-04-01,12.5,2.5,0.0
